run_ts,skills_sha,harness_sha,model_id,arm,case,group,check_kind,reps,passes,pass_rate,median_turns,median_tokens
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,create-stage-name-collision,create-stage-node,routing,1,0,0.0,10,445751
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,create-stage-name-collision,create-stage-node,outcome,1,1,1.0,14,332482
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,add-column-simple,add-column,routing,1,0,0.0,19,933822
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,add-column-vanilla-control,add-column,outcome,1,1,1.0,15,735356
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,create-job,create-job,outcome,1,1,1.0,23,1425192
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,create-stage-node,create-stage-node,routing,1,0,0.0,16,509075
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,create-stage-node,create-stage-node,outcome,1,1,1.0,18,989027
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,edw-engineering-activity,edw-build,safety,1,1,1.0,26,1540637
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,edw-engineering-activity,edw-build,safety,1,1,1.0,24,2160452
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,medallion-silver-layer,pipeline-build,outcome,1,1,1.0,31,2093149
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,profile-explore,profile,safety,1,1,1.0,10,456913
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,profile-explore,profile,safety,1,1,1.0,10,456862
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,medallion-silver-layer,pipeline-build,routing,1,1,1.0,29,2050399
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,rename-leaf-no-phantom-edits,rename-node,safety,1,0,0.0,12,585945
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,rename-leaf-no-phantom-edits,rename-node,safety,1,0,0.0,16,813081
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,rename-node-cascade,rename-node,outcome,1,1,1.0,17,854233
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,rename-node-cascade,rename-node,routing,1,0,0.0,16,893597
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,review-risk-readonly,review-risk,safety,8,8,1.0,10,371771
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,review-risk-readonly,review-risk,safety,8,8,1.0,8,375519
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,medallion-full-build,pipeline-build,outcome,1,1,1.0,45,2594788
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,edw-product-metadata,edw-build,safety,1,1,1.0,39,2933560
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,medallion-full-build,pipeline-build,routing,1,1,1.0,54,4192380
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,edw-product-metadata,edw-build,safety,1,1,1.0,71,5765807
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,skills,routing-ambiguous-perf,routing,routing,1,0,0.0,27,2032717
2026-07-14T22:37:04Z,abbfac71909cbdbc8f376c70ad423a7eb6ca5662,main,claude-sonnet-5,bare,routing-ambiguous-perf,routing,routing,1,0,0.0,36,2687892
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,add-column-vanilla-control,add-column,routing,1,0,0.0,5,162599
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,add-column-simple,add-column,outcome,1,1,1.0,9,289171
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,add-column-missing-source,add-column,outcome,1,1,1.0,10,309821
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,add-column-simple,add-column,routing,1,0,0.0,12,404074
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,add-column-vanilla-control,add-column,outcome,1,1,1.0,13,445521
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,add-column-missing-source,add-column,routing,1,0,0.0,13,348183
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,create-job,create-job,outcome,1,0,0.0,12,226108
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,add-sql-transformation,sql-transformation,safety,1,1,1.0,13,278840
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,add-sql-transformation,sql-transformation,safety,1,1,1.0,13,347956
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,create-job,create-job,routing,1,0,0.0,18,436586
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,create-stage-node,create-stage-node,outcome,1,1,1.0,16,565328
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,create-stage-node,create-stage-node,routing,1,0,0.0,16,491883
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,create-stage-name-collision,create-stage-node,routing,1,0,0.0,18,519325
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,create-stage-name-collision,create-stage-node,outcome,1,1,1.0,21,639056
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,edw-engineering-activity,edw-build,safety,1,1,1.0,35,1721915
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,profile-explore,profile,safety,1,1,1.0,22,321483
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,medallion-full-build,pipeline-build,routing,1,0,0.0,21,708111
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,edw-engineering-activity,edw-build,safety,1,1,1.0,39,2447633
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,medallion-full-build,pipeline-build,outcome,1,0,0.0,20,719212
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,medallion-silver-layer,pipeline-build,outcome,1,0,0.0,20,779447
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,medallion-silver-layer,pipeline-build,routing,1,0,0.0,27,953098
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,profile-explore,profile,safety,1,1,1.0,20,276681
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,review-risk-readonly,review-risk,safety,8,8,1.0,6,126957
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,rename-node-cascade,rename-node,outcome,1,1,1.0,23,288726
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,edw-product-metadata,edw-build,safety,1,1,1.0,57,2954541
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,rename-leaf-no-phantom-edits,rename-node,safety,1,1,1.0,21,630105
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,rename-leaf-no-phantom-edits,rename-node,safety,1,1,1.0,23,883089
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,rename-node-cascade,rename-node,routing,1,0,0.0,26,439447
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,review-risk-readonly,review-risk,safety,8,8,1.0,4,126286
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,bare,routing-ambiguous-perf,routing,routing,1,0,0.0,21,629013
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,routing-ambiguous-perf,routing,routing,1,0,0.0,19,623730
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-haiku-4-5,skills,edw-product-metadata,edw-build,safety,1,1,1.0,100,4466028
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,add-column-missing-source,add-column,outcome,1,1,1.0,4,127113
2026-07-16T21:59:08Z,3b31a486a4ad1e08d120de51e523edf9a0aa4828,main,claude-opus-4-8,bare,add-column-vanilla-control,add-column,outcome,1,1,1.0,9,293003
